trial_index,time_elapsed,rt,response,avg_frame_time,center_x,center_y,note,correct
149,189854,"[706,831]","[""s"",""s""]",16.66503333,250,150,100,FALSE
150,190860,"[569,590]","[""a"",""s""]",16.66711864,250,150,1100,TRUE
151,191869,"[505,505]","[""a"",""f""]",16.66730508,250,150,1010,FALSE
152,192870,"[527,551]","[""a"",""s""]",16.66631667,250,150,1100,TRUE
153,193876,"[767,832]","[""a"",""f""]",16.66711864,250,150,1001,TRUE
154,194883,"[824,864]","[""a"",""s""]",16.66649153,250,150,1100,TRUE
155,195887,[681],"[""s""]",16.6673,250,150,1010,FALSE
156,196891,"[631,701]","[""d"",""f""]",16.66789831,250,150,11,TRUE
157,197900,"[482,593]","[""a"",""f""]",16.66691525,250,150,1001,TRUE
158,198904,[634],"[""s""]",16.66565,250,150,100,TRUE
159,199908,"[740,759,868]","[""a"",""s"",""f""]",16.66632203,250,150,1101,TRUE
160,200916,"[691,692]","[""s"",""f""]",16.66677966,250,150,101,TRUE
161,201921,[466],"[""a""]",16.66625,250,150,1000,TRUE
162,202925,[686],"[""d""]",16.66632203,250,150,10,TRUE
163,203938,[],[],16.6667,250,150,10,FALSE
164,204940,"[100,659]","[""d"",""s""]",16.66608475,250,150,100,FALSE
165,205947,[448],"[""a""]",16.66713559,250,150,1000,TRUE
166,206954,"[496,497,497]","[""a"",""d"",""f""]",16.66826667,250,150,1011,TRUE
167,207956,"[505,545]","[""s"",""a""]",16.66647458,250,150,1100,TRUE
168,208965,[689],"[""s""]",16.66732203,250,150,100,TRUE
169,209971,"[558,582,582]","[""f"",""a"",""d""]",16.66706667,250,150,1011,TRUE
170,210980,[433],"[""f""]",16.66777966,250,150,1,TRUE
171,211987,"[417,504]","[""f"",""d""]",16.66625424,250,150,10,FALSE
172,212988,"[738,803]","[""a"",""f""]",16.6671,250,150,1001,TRUE
173,213996,[],[],16.66877966,250,150,1010,FALSE
174,215004,"[97,217,240]","[""s"",""d"",""a""]",16.66826667,250,150,10,FALSE
175,216011,"[846,926]","[""s"",""a""]",16.66557627,250,150,1000,FALSE
176,217019,[859],"[""s""]",16.66869492,250,150,1011,FALSE
177,218021,"[49,49]","[""a"",""d""]",16.6676,250,150,1000,FALSE
178,219022,"[913,959]","[""a"",""s""]",16.66727119,250,150,11,FALSE
179,220027,"[136,136]","[""d"",""f""]",16.66716949,250,150,1010,FALSE
180,221035,[],[],16.66689831,250,150,1001,FALSE
181,222038,"[674,697,787,787]","[""s"",""a"",""d"",""f""]",16.66493333,250,150,11,FALSE
182,223044,"[953,953,974]","[""a"",""s"",""f""]",16.66701695,250,150,10,FALSE
183,224052,[218],"[""d""]",16.6660339,250,150,111,FALSE
184,225061,"[570,570,570]","[""a"",""s"",""f""]",16.6656,250,150,1101,TRUE
185,226068,"[463,487,528]","[""a"",""f"",""s""]",16.66650847,250,150,1101,TRUE
186,227071,[455],"[""s""]",16.6674,250,150,100,TRUE
187,228076,"[486,509]","[""d"",""a""]",16.66838983,250,150,1010,TRUE
188,229084,"[408,409]","[""a"",""d""]",16.66544068,250,150,10,FALSE
189,230088,"[465,465]","[""d"",""f""]",16.66638333,250,150,11,TRUE
190,231092,"[445,445]","[""s"",""f""]",16.66710169,250,150,101,TRUE
191,232100,"[495,520,520]","[""f"",""a"",""d""]",16.66727119,250,150,1011,TRUE
192,233105,"[497,497]","[""d"",""f""]",16.66688333,250,150,11,TRUE
193,234108,[436],"[""f""]",16.66777966,250,150,1,TRUE
194,235116,"[410,433]","[""a"",""f""]",16.66701695,250,150,1000,FALSE
195,236122,"[544,544,545]","[""a"",""d"",""f""]",16.66585,250,150,1011,TRUE
196,237125,[523],"[""f""]",16.66710169,250,150,1,TRUE
197,238132,[480],"[""a""]",16.66645763,250,150,1000,TRUE
198,239139,"[433,456]","[""s"",""a""]",16.667,250,150,1100,TRUE
199,240140,[474],"[""s""]",16.66654237,250,150,100,TRUE
200,241148,"[394,417,417]","[""a"",""d"",""f""]",16.6659661,250,150,1011,TRUE
201,242155,"[443,512]","[""s"",""d""]",16.66691667,250,150,110,TRUE
202,243164,"[576,594,640]","[""a"",""s"",""f""]",16.66545763,250,150,1101,TRUE
203,244172,"[569,591]","[""f"",""s""]",16.66543333,250,150,101,TRUE
204,245181,"[448,472]","[""a"",""f""]",16.66694915,250,150,1001,TRUE
205,246189,"[400,440,527,570,680]","[""s"",""a"",""d"",""f"",""s""]",16.66823333,250,150,1101,FALSE
206,247196,"[601,601,624]","[""a"",""d"",""s""]",16.66711864,250,150,1110,TRUE
207,248205,"[475,476,497]","[""a"",""f"",""d""]",16.66698305,250,150,1011,TRUE
208,249206,"[489,489,552]","[""a"",""s"",""d""]",16.66851667,250,150,1110,TRUE
209,250212,"[527,527,527]","[""a"",""d"",""f""]",16.66564407,250,150,1011,TRUE
210,251217,"[577,601]","[""a"",""d""]",16.66730508,250,150,1010,TRUE
211,252220,[475],"[""s""]",16.66715254,250,150,100,TRUE
212,253222,"[472,472,488]","[""s"",""f"",""d""]",16.66615,250,150,111,TRUE
213,254229,"[469,488,488]","[""a"",""s"",""f""]",16.66561017,250,150,1101,TRUE
214,255237,[440],"[""f""]",16.66683051,250,150,1,TRUE
215,256239,"[416,416]","[""a"",""s""]",16.66698333,250,150,1100,TRUE
216,257245,"[391,413]","[""s"",""a""]",16.66701695,250,150,1100,TRUE
217,258253,[480],"[""a""]",16.66601695,250,150,1000,TRUE
218,259256,"[416,416]","[""a"",""f""]",16.66693333,250,150,1001,TRUE
219,260264,"[453,573]","[""f"",""d""]",16.66694915,250,150,10,FALSE
220,261269,[483],"[""a""]",16.66838983,250,150,1000,TRUE
221,262272,"[439,456]","[""a"",""d""]",16.66698333,250,150,10,FALSE
222,263277,[437],"[""f""]",16.66881356,250,150,1,TRUE
223,264284,[384],"[""d""]",16.667,250,150,10,TRUE
224,265289,"[360,378]","[""f"",""d""]",16.66585,250,150,11,TRUE
225,266293,"[484,508]","[""d"",""a""]",16.66532203,250,150,1010,TRUE
226,267300,"[479,503]","[""f"",""d""]",16.66664407,250,150,11,TRUE
227,268306,"[433,433]","[""d"",""f""]",16.66725,250,150,11,TRUE
228,269308,"[443,443]","[""a"",""f""]",16.66683051,250,150,1001,TRUE
229,270317,[401],"[""s""]",16.66745763,250,150,100,TRUE
230,271323,"[425,682]","[""d"",""s""]",16.66711667,250,150,100,FALSE
231,272324,[602],"[""s""]",16.66720339,250,150,100,TRUE
232,273333,"[484,484]","[""a"",""d""]",16.66732203,250,150,1010,TRUE
